URL,Product_Name,Category
https://www.amazon.fr/dp/B0DKFMSMYK/?coliid=IUAW3FY0TZCNI&colid=2ALWY88JB3B8P&psc=1&ref_=list_c_wl_lv_ov_lig_dp_it,"RYZEN 7 9800X3D","CPU"
https://www.bpm-power.com/it/online/componenti-pc/processori/processore-amd-ryzen-7-b2243294,"RYZEN 7 9800X3D","CPU"
https://www.pccomponentes.fr/processeurs-amd-ryzen-7-9800x3d-47-52-ghz, "RYZEN 7 9800X3D","CPU"
https://www.pccomponentes.fr/amd-ryzen-7-7800x3d-processeur-42-ghz-96-mo-l3-boite,"RYZEN 7 9800X3D","CPU"
https://www.ldlc.com/fiche/PB00650664.html,"RYZEN 7 9800X3D","CPU"
https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20026731.html,"RYZEN 7 9800X3D","CPU"
https://www.rueducommerce.fr/p/r24107833713.html,"RYZEN 7 9800X3D","CPU"
https://www.caseking.de/en/amd-ryzen-7-9800x3d-cpu-8-cores-5.2-ghz-socket-am5-granite-ridge-boxed-without-cooler/HPAM-293.html,"RYZEN 7 9800X3D","CPU"
https://www.idealo.fr/prix/205072279/amd-ryzen-7-9800x3d.html,"RYZEN 7 9800X3D","CPU"
https://www.alternate.fr/AMD/Ryzen-7-9800X3D-socket-AM5-processeur/html/product/100093605,"RYZEN 7 9800X3D","CPU"
https://www.grosbill.com/processeur/amd-ryzen-7-9800x3d-148505.aspx,"RYZEN 7 9800X3D","CPU"
https://www.idealo.fr/prix/205072280/amd-ryzen-7-9800x3d-boxed.html,"RYZEN 7 9800X3D Boxed","CPU"
https://www.caseking.de/en/amd-ryzen-9-9900x3d-cpu-12-cores-5.5-ghz-socket-am5-granite-ridge-boxed-without-cooler/HPAM-302.html,"RYZEN 9 9900X3D","CPU"

# Upgrade Kit
https://www.grosbill.com/kit-upgrade-pc/sapphire-ryzen-7-9800x3d-tray-pulse-radeon-rx-9070-xt-gaming-oc-16-gb-153927.aspx,"Sapphire Ryzen 7 9800X3D Tray + Pulse Radeon RX 9070 XT Gaming OC 16 GB","Upgrade Kit"
https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_kitevo_puis_ref_est_in20025724.html,"Kit évo Ryzen 7 9800X3D (Bulk) + B650E A ELITE X AX ICE + 64 Go","Upgrade Kit"
https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_kitevo_puis_ref_est_in20025723.html,"Kit évo Ryzen 7 9800X3D (Bulk) + MAG B650 TOMAHAWK WIFI + 64 Go","Upgrade Kit"
https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_kitevo_puis_ref_est_in20025725.html,"Kit évo Ryzen 7 9800X3D (Bulk) + TUF GAMING B650-PLUS WIFI + 64 Go","Upgrade Kit"
https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_kitevo_puis_ref_est_in20025728.html,"Kit évo Ryzen 7 9800X3D (Bulk) + X670E GAMING PLUS WIFI + 64 Go","Upgrade Kit"
https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_kitevo_puis_ref_est_in20025729.html,"Kit évo Ryzen 7 9800X3D (Bulk) + X670E GAMING PLUS WIFI + E360 + 64 Go","Upgrade Kit"
